...1,election,state,year,pollName,endDate,numberOfRespondents,democratic,republican,electionDate,startDate,someoneElse,undecided,refuseToAnswer,populationType,Mode,check,finalTwoPartyVSDemocratic,finalTwoPartyVSRepublican
31,Pres,NC,2020,AtlasIntel,2020-10-31,812,48,50,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
32,Pres,AZ,2020,AtlasIntel,2020-10-31,641,48,50,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
33,Pres,AZ,2020,Data for Progress,2020-11-01,1195,50,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
34,Pres,CO,2020,Data for Progress,2020-11-01,709,54,42,2020-11-03,NA,NA,NA,NA,NA,NA,0,56.93730729701953,43.06269270298047
35,Pres,TX,2020,Data for Progress,2020-11-01,926,49,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,47.16866247209256,52.83133752790745
36,Pres,NC,2020,Data for Progress,2020-11-01,908,50,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
37,Pres,VA,2020,Data for Progress,2020-11-01,690,54,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,55.15237998165325,44.84762001834675
38,Pres,AL,2020,Data for Progress,2020-11-01,1045,38,58,2020-11-03,NA,NA,NA,NA,NA,NA,0,37.08924949290061,62.910750507099394
39,Pres,CO,2020,Keating Research,2020-11-01,502,53,41,2020-11-03,NA,NA,NA,NA,NA,NA,0,56.93730729701953,43.06269270298047
40,Pres,OH,2020,Civiqs,2020-11-01,1136,48,49,2020-11-03,NA,NA,NA,NA,NA,NA,0,45.92427164754847,54.07572835245153
41,Pres,IA,2020,Civiqs,2020-11-01,853,49,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,45.81547254541743,54.184527454582565
42,Pres,WI,2020,Civiqs,2020-11-01,789,51,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
43,Pres,TX,2020,CES,2020-10-27,2947,47,49,2020-11-03,NA,NA,NA,NA,NA,NA,0,47.16866247209256,52.83133752790745
44,Pres,PA,2020,CES,2020-10-27,2703,52,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
45,Pres,NC,2020,CES,2020-10-27,1627,49,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
46,Pres,GA,2020,CES,2020-10-27,1456,48,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.11650288724546,49.883497112754526
47,Pres,FL,2020,CES,2020-10-27,3755,49,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
48,Pres,MN,2020,St. Cloud State University,2020-10-29,372,54,39,2020-11-03,NA,NA,NA,NA,NA,NA,0,53.64455364455364,46.355446355446354
49,Pres,TX,2020,Gravis Marketing,2020-10-28,600,45,50,2020-11-03,NA,NA,NA,NA,NA,NA,0,47.16866247209256,52.83133752790745
50,Pres,MI,2020,Mitchell Research & Communications,2020-10-29,817,52,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
51,Pres,MI,2020,Ipsos,2020-11-01,653,53,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
52,Pres,PA,2020,Ipsos,2020-11-01,673,51,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
53,Pres,WI,2020,Ipsos,2020-11-01,969,53,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
54,Pres,FL,2020,NYT/Siena College,2020-10-31,1451,47,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
55,Pres,PA,2020,NYT/Siena College,2020-10-31,1862,49,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
56,Pres,FL,2020,St Pete Polls,2020-10-30,2758,49,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
57,Pres,FL,2020,RMG Research,2020-10-30,1200,51,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
58,Pres,WI,2020,NYT/Siena College,2020-10-30,1253,52,41,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
59,Pres,AZ,2020,NYT/Siena College,2020-10-30,1252,49,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
60,Pres,NM,2020,Research & Polling Inc.,2020-10-29,1180,54,42,2020-11-03,NA,NA,NA,NA,NA,NA,0,55.51692402086103,44.483075979138974
61,Pres,MI,2020,EPIC-MRA,2020-10-28,600,48,41,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
62,Pres,PA,2020,ABC News/Washington Post,2020-10-29,810,51,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
63,Pres,FL,2020,ABC News/Washington Post,2020-10-29,824,48,50,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
64,Pres,IA,2020,Selzer & Co.,2020-10-29,814,41,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,45.81547254541743,54.184527454582565
65,Pres,AZ,2020,Y2 Analytics B,2020-10-24,700,50,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
66,Pres,UT,2020,Y2 Analytics B,2020-10-24,660,44,51,2020-11-03,NA,NA,NA,NA,NA,NA,0,39.30883274169973,60.69116725830027
67,Pres,NC,2020,SSRS,2020-10-30,901,51,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
68,Pres,AZ,2020,SSRS,2020-10-30,865,50,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
69,Pres,MI,2020,SSRS,2020-10-30,907,53,41,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
70,Pres,WI,2020,SSRS,2020-10-30,873,52,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
71,Pres,MN,2020,Public Policy Polling,2020-10-30,770,54,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,53.64455364455364,46.355446355446354
72,Pres,MO,2020,Remington Research Group,2020-10-29,1010,45,50,2020-11-03,NA,NA,NA,NA,NA,NA,0,42.16474900722941,57.8352509927706
73,Pres,TX,2020,Public Policy Polling,2020-10-29,775,50,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,47.16866247209256,52.83133752790745
74,Pres,FL,2020,AtlasIntel,2020-10-29,786,49,49,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
75,Pres,VA,2020,Roanoke College,2020-10-29,802,53,42,2020-11-03,NA,NA,NA,NA,NA,NA,0,55.15237998165325,44.84762001834675
76,Pres,PA,2020,Muhlenberg College,2020-10-28,419,49,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
77,Pres,GA,2020,Landmark Communications,2020-10-28,750,47,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.11650288724546,49.883497112754526
78,Pres,MI,2020,RMG Research,2020-10-28,800,51,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
79,Pres,WY,2020,University of Wyoming,2020-10-28,614,31,59,2020-11-03,NA,NA,NA,NA,NA,NA,0,27.515804746605866,72.48419525339413
80,Pres,MI,2020,Public Policy Polling,2020-10-29,749,54,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
81,Pres,PA,2020,Public Policy Polling,2020-10-29,1012,52,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
82,Pres,FL,2020,Public Policy Polling,2020-10-29,941,52,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
83,Pres,NC,2020,East Carolina University,2020-10-28,1103,50,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
84,Pres,NC,2020,Marist College,2020-10-28,800,52,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
85,Pres,FL,2020,YouGov,2020-10-26,1200,48,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
86,Pres,CT,2020,Sacred Heart University,2020-10-21,1000,51,26,2020-11-03,NA,NA,NA,NA,NA,NA,0,60.19299136617573,39.80700863382428
87,Pres,MI,2020,Kiaer Research,2020-10-28,669,54,41,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
88,Pres,NC,2020,Cardinal Point Analysis,2020-10-28,750,46,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
89,Pres,NV,2020,Gravis Marketing,2020-10-28,688,50,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.222756574235135,48.77724342576486
90,Pres,NH,2020,University of New Hampshire,2020-10-28,864,53,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,53.7473233404711,46.25267665952891
91,Pres,TX,2020,RMG Research,2020-10-28,800,46,50,2020-11-03,NA,NA,NA,NA,NA,NA,0,47.16866247209256,52.83133752790745
92,Pres,NC,2020,NYT/Siena College,2020-10-27,1034,48,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
93,Pres,FL,2020,Monmouth University,2020-10-28,509,51,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
94,Pres,NC,2020,YouGov,2020-10-26,911,48,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
95,Pres,TX,2020,YouGov,2020-10-26,873,47,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,47.16866247209256,52.83133752790745
96,Pres,NH,2020,YouGov,2020-10-26,757,53,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,53.7473233404711,46.25267665952891
97,Pres,PA,2020,Quinnipiac University,2020-10-27,1324,51,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
98,Pres,OH,2020,Quinnipiac University,2020-10-27,1186,48,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,45.92427164754847,54.07572835245153
99,Pres,IA,2020,Quinnipiac University,2020-10-27,1225,46,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,45.81547254541743,54.184527454582565
100,Pres,FL,2020,Quinnipiac University,2020-10-27,1324,45,42,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
101,Pres,NJ,2020,Rutgers University,2020-10-24,872,61,37,2020-11-03,NA,NA,NA,NA,NA,NA,0,58.067456700091164,41.93254329990884
102,Pres,OH,2020,Gravis Marketing,2020-10-28,613,47,49,2020-11-03,NA,NA,NA,NA,NA,NA,0,45.92427164754847,54.07572835245153
103,Pres,AK,2020,Gravis Marketing,2020-10-28,770,43,52,2020-11-03,NA,NA,NA,NA,NA,NA,0,44.73849372384937,55.261506276150634
104,Pres,GA,2020,Public Policy Polling,2020-10-28,661,48,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.11650288724546,49.883497112754526
105,Pres,VA,2020,Virginia Commonwealth University,2020-10-22,709,51,39,2020-11-03,NA,NA,NA,NA,NA,NA,0,55.15237998165325,44.84762001834675
106,Pres,FL,2020,Marist College,2020-10-27,742,51,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
107,Pres,ME,2020,SurveyUSA,2020-10-27,1007,53,40,2020-11-03,NA,NA,NA,NA,NA,NA,0,54.66996189887755,45.33003810112243
108,Pres,PA,2020,Franklin & Marshall College,2020-10-25,558,50,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
109,Pres,PA,2020,RMG Research,2020-10-27,800,51,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
110,Pres,MN,2020,SurveyUSA,2020-10-27,649,47,42,2020-11-03,NA,NA,NA,NA,NA,NA,0,53.64455364455364,46.355446355446354
111,Pres,MI,2020,Mitchell Research & Communications,2020-10-27,759,52,42,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
112,Pres,MT,2020,Montana State University Billings,2020-10-24,546,45,52,2020-11-03,NA,NA,NA,NA,NA,NA,0,41.60254437262747,58.39745562737252
113,Pres,AZ,2020,The Justice Collaborative Institute,2020-10-25,1007,49,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
114,Pres,FL,2020,Ipsos,2020-10-27,704,49,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
115,Pres,AZ,2020,Ipsos,2020-10-27,714,48,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
116,Pres,PA,2020,Latino Decisions,2020-10-25,723,50,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
117,Pres,TX,2020,Latino Decisions,2020-10-25,758,46,49,2020-11-03,NA,NA,NA,NA,NA,NA,0,47.16866247209256,52.83133752790745
118,Pres,FL,2020,Latino Decisions,2020-10-25,743,49,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
119,Pres,AZ,2020,Latino Decisions,2020-10-25,725,50,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
120,Pres,AR,2020,University of Arkansas,2020-10-21,591,32,65,2020-11-03,NA,NA,NA,NA,NA,NA,0,35.78925704877547,64.21074295122453
121,Pres,SC,2020,East Carolina University,2020-10-25,763,44,52,2020-11-03,NA,NA,NA,NA,NA,NA,0,44.07347270144104,55.926527298558966
122,Pres,NC,2020,Harper Polling,2020-10-25,504,47,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
123,Pres,AZ,2020,Gravis Marketing,2020-10-28,704,48,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
124,Pres,NC,2020,Gravis Marketing,2020-10-27,614,49,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
125,Pres,WI,2020,Marquette University Law School,2020-10-25,749,48,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
126,Pres,MI,2020,NYT/Siena College,2020-10-26,856,49,41,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
127,Pres,GA,2020,Monmouth University,2020-10-27,504,50,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.11650288724546,49.883497112754526
128,Pres,VA,2020,Christopher Newport University,2020-10-27,908,53,41,2020-11-03,NA,NA,NA,NA,NA,NA,0,55.15237998165325,44.84762001834675
129,Pres,ME,2020,Colby College,2020-10-25,879,51,38,2020-11-03,NA,NA,NA,NA,NA,NA,0,54.66996189887755,45.33003810112243
130,Pres,WI,2020,ABC News/Washington Post,2020-10-25,809,57,40,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
131,Pres,MI,2020,ABC News/Washington Post,2020-10-25,789,51,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
132,Pres,SC,2020,Data for Progress,2020-10-27,1196,44,50,2020-11-03,NA,NA,NA,NA,NA,NA,0,44.07347270144104,55.926527298558966
133,Pres,AZ,2020,Patinkin Research Strategies,2020-10-24,729,52,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
134,Pres,MI,2020,Glengariff Group,2020-10-25,600,49,42,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
135,Pres,IA,2020,RABA Research,2020-10-24,693,50,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,45.81547254541743,54.184527454582565
136,Pres,NC,2020,SurveyUSA,2020-10-26,627,48,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
137,Pres,NC,2020,Ipsos,2020-10-27,647,49,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
138,Pres,MI,2020,Ipsos,2020-10-27,652,52,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
139,Pres,MT,2020,Public Policy Polling,2020-10-27,886,47,49,2020-11-03,NA,NA,NA,NA,NA,NA,0,41.60254437262747,58.39745562737252
140,Pres,NC,2020,Public Policy Polling,2020-10-27,937,51,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
141,Pres,NC,2020,RMG Research,2020-10-26,800,48,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
142,Pres,MN,2020,Gravis Marketing,2020-10-26,657,53,39,2020-11-03,NA,NA,NA,NA,NA,NA,0,53.64455364455364,46.355446355446354
143,Pres,LA,2020,University of New Orleans,2020-10-22,755,36,59,2020-11-03,NA,NA,NA,NA,NA,NA,0,40.53504221340657,59.46495778659343
144,Pres,AZ,2020,OH Predictive Insights amended,2020-10-25,716,49,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.15240804714489,49.84759195285511
145,Pres,NV,2020,NYT/Siena College,2020-10-26,809,49,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.222756574235135,48.77724342576486
146,Pres,FL,2020,Florida Atlantic University,2020-10-25,937,50,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
147,Pres,NV,2020,"University of Nevada, Las Vegas Lee Business School",2020-10-23,802,50,41,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.222756574235135,48.77724342576486
148,Pres,CA,2020,"University of California, Berkeley",2020-10-21,5352,65,29,2020-11-03,NA,NA,NA,NA,NA,NA,0,64.9079754601227,35.0920245398773
149,Pres,MS,2020,Civiqs,2020-10-26,507,41,55,2020-11-03,NA,NA,NA,NA,NA,NA,0,41.61767687005879,58.38232312994121
150,Pres,GA,2020,Civiqs,2020-10-26,1047,51,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.11650288724546,49.883497112754526
151,Pres,PA,2020,Civiqs,2020-10-26,1145,52,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
152,Pres,MD,2020,Gonzales Research & Marketing Strategies Inc.,2020-10-24,820,58,33,2020-11-03,NA,NA,NA,NA,NA,NA,0,67.02902266434212,32.970977335657885
153,Pres,WI,2020,Ipsos,2020-10-26,664,53,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
154,Pres,PA,2020,Ipsos,2020-10-26,655,51,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
155,Pres,FL,2020,RMG Research,2020-10-22,800,50,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
156,Pres,TX,2020,NYT/Siena College,2020-10-25,802,43,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,47.16866247209256,52.83133752790745
157,Pres,TX,2020,Data for Progress,2020-10-25,1018,49,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,47.16866247209256,52.83133752790745
158,Pres,TX,2020,YouGov,2020-10-20,1000,45,50,2020-11-03,NA,NA,NA,NA,NA,NA,0,47.16866247209256,52.83133752790745
159,Pres,GA,2020,University of Georgia,2020-10-23,1145,47,46,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.11650288724546,49.883497112754526
160,Pres,WI,2020,YouGov,2020-10-21,647,53,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
161,Pres,PA,2020,YouGov,2020-10-21,669,52,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
162,Pres,MI,2020,YouGov,2020-10-21,681,52,42,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
163,Pres,MI,2020,Gravis Marketing,2020-10-24,679,55,42,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
164,Pres,NC,2020,YouGov,2020-10-23,1022,51,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
165,Pres,GA,2020,YouGov,2020-10-23,1090,49,49,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.11650288724546,49.883497112754526
166,Pres,FL,2020,YouGov,2020-10-23,1228,50,48,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
167,Pres,SD,2020,Mason-Dixon Polling & Strategy,2020-10-21,625,40,51,2020-11-03,NA,NA,NA,NA,NA,NA,0,36.56808379544054,63.431916204559464
168,Pres,TX,2020,University of Texas at Tyler,2020-10-20,925,48,45,2020-11-03,NA,NA,NA,NA,NA,NA,0,47.16866247209256,52.83133752790745
169,Pres,MT,2020,RMG Research,2020-10-18,500,46,50,2020-11-03,NA,NA,NA,NA,NA,NA,0,41.60254437262747,58.39745562737252
170,Pres,WI,2020,Gravis Marketing,2020-10-23,677,54,43,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
171,Pres,PA,2020,Gravis Marketing,2020-10-23,602,51,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
172,Pres,WV,2020,Triton Poling & Research,2020-10-20,544,38,58,2020-11-03,NA,NA,NA,NA,NA,NA,0,30.20441370893929,69.79558629106072
173,Pres,GA,2020,Landmark Communications,2020-10-21,500,45,49,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.11650288724546,49.883497112754526
174,Pres,NC,2020,Meredith College,2020-10-19,732,48,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,49.31993503857084,50.680064961429146
175,Pres,MT,2020,NYT/Siena College,2020-10-20,758,43,49,2020-11-03,NA,NA,NA,NA,NA,NA,0,41.60254437262747,58.39745562737252
176,Pres,FL,2020,St Pete Polls,2020-10-22,2527,49,47,2020-11-03,NA,NA,NA,NA,NA,NA,0,48.304400484457005,51.695599515542995
177,Pres,PA,2020,Muhlenberg College,2020-10-20,416,51,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.591805766312596,49.40819423368741
178,Pres,MI,2020,EPIC-MRA,2020-10-19,600,48,39,2020-11-03,NA,NA,NA,NA,NA,NA,0,51.411740808450126,48.58825919154987
179,Pres,UT,2020,RMG Research,2020-10-17,1000,38,50,2020-11-03,NA,NA,NA,NA,NA,NA,0,39.30883274169973,60.69116725830027
180,Pres,WI,2020,RMG Research,2020-10-20,800,50,44,2020-11-03,NA,NA,NA,NA,NA,NA,0,50.320545436043545,49.67945456395644
181,Pres,MT,2020,Strategies 360,2020-10-20,500,43,51,2020-11-03,NA,NA,NA,NA,NA,NA,0,41.60254437262747,58.39745562737252
