election,state,year,pollName,endDate,numberOfRespondents,democratic,republican,electionDate,startDate,someoneElse,undecided,refuseToAnswer,populationType,Mode,check,finalTwoPartyVSDemocratic,finalTwoPartyVSRepublican
Sen,OH,1992,University of Akron,1992-09-08,582,388,194,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.649885054571236,45.35011494542876
Sen,AZ,1992,Behavior Research Center (Rocky Mountain),1992-10-03,453,143,310,1992-11-03,NA,NA,NA,NA,NA,NA,NA,36.127781694322216,63.872218305677784
Sen,PA,1992,Mason-Dixon Polling & Research Inc.,1992-09-17,751,310,441,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.54727955419171,51.45272044580829
Sen,ND,1992,Precision Marketing,1992-09-25,428,306,122,1992-11-03,NA,NA,NA,NA,NA,NA,NA,60.282882199169904,39.71711780083009
Sen,OR,1992,T-H Research,1992-10-22,569,263,306,1992-11-03,NA,NA,NA,NA,NA,NA,NA,47.141248918729545,52.85875108127045
Sen,FL,1992,Mason-Dixon Polling & Research Inc.,1992-09-10,643,442,201,1992-11-03,NA,NA,NA,NA,NA,NA,NA,65.40748115143235,34.592518848567636
Sen,WA,1992,Evans/McDonough,1992-10-26,546,288,258,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.99188390999999,46.00811609
Sen,AR,1992,Mason-Dixon Polling & Research Inc.,1992-09-03,721,489,232,1992-11-03,NA,NA,NA,NA,NA,NA,NA,60.17719411,39.82280589
Sen,CA,1992,Greenberg Quinlan Rosner (Democracy Corps),1992-10-29,644,357,287,1992-11-03,NA,NA,NA,NA,NA,NA,NA,52.69557915965937,47.30442084034062
Sen,GA,1992,"North Star Opinion Research/Ayres, McHenry & Associates",1992-08-31,468,276,192,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.35258706,50.64741294
Sen,AL,1992,Mason-Dixon Polling & Research Inc.,1992-08-03,634,504,130,1992-11-03,NA,NA,NA,NA,NA,NA,NA,66.20634383337631,33.7936561666237
Sen,AL,1992,Mason-Dixon Polling & Research Inc.,1992-09-22,662,513,149,1992-11-03,NA,NA,NA,NA,NA,NA,NA,66.20634383337631,33.7936561666237
Sen,UT,1992,Penn Schoen Berland,1992-08-15,353,160,193,1992-11-03,NA,NA,NA,NA,NA,NA,NA,41.76199262867714,58.23800737132285
Sen,NY,1992,Mason-Dixon Polling & Research Inc.,1992-09-07,709,417,292,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.353978141352876,50.64602185864713
Sen,IN,1992,Indiana University,1992-09-24,461,148,313,1992-11-03,NA,NA,NA,NA,NA,NA,NA,41.51744368788668,58.48255631211331
Sen,OR,1992,Griggs-Anderson Research,1992-10-22,468,228,240,1992-11-03,NA,NA,NA,NA,NA,NA,NA,47.141248918729545,52.85875108127045
Sen,MO,1992,Mason-Dixon Polling & Research Inc.,1992-09-14,669,269,400,1992-11-03,NA,NA,NA,NA,NA,NA,NA,46.40474799505295,53.595252004947056
Sen,SC,1992,KPC Research,1992-10-26,592,339,253,1992-11-03,NA,NA,NA,NA,NA,NA,NA,51.60910055069683,48.390899449303184
Sen,IN,1992,Fort Wayne Journal-Gazette,1992-09-12,388,111,277,1992-11-03,NA,NA,NA,NA,NA,NA,NA,41.51744368788668,58.48255631211331
Sen,CO,1992,Talmey-Drake Research & Strategy Inc.,1992-10-20,352,176,176,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.80125022620106,45.19874977379894
Sen,AZ,1992,Arizona State University,1992-09-19,408,170,238,1992-11-03,NA,NA,NA,NA,NA,NA,NA,36.127781694322216,63.872218305677784
Sen,IL,1992,University of Illinois at Chicago,1992-10-21,874,493,381,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,CA,1992,Los Angeles Times,1992-09-10,1129,691,438,1992-11-03,NA,NA,NA,NA,NA,NA,NA,52.69557915965937,47.30442084034062
Sen,WA,1992,Elway Research,1992-09-19,346,193,153,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.99188390999999,46.00811609
Sen,SC,1992,Mason-Dixon Polling & Research Inc.,1992-09-18,702,444,258,1992-11-03,NA,NA,NA,NA,NA,NA,NA,51.60910055069683,48.390899449303184
Sen,ID,1992,Mason-Dixon Polling & Research Inc.,1992-09-25,685,310,375,1992-11-03,NA,NA,NA,NA,NA,NA,NA,43.47633457710619,56.52366542289382
Sen,NY,1992,Zogby Interactive/JZ Analytics,1992-08-17,560,284,276,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.353978141352876,50.64602185864713
Sen,OK,1992,Cole Hargrave Snodgrass & Associates,1992-10-16,430,155,275,1992-11-03,NA,NA,NA,NA,NA,NA,NA,39.47769811458307,60.52230188541693
Sen,IN,1992,Mason-Dixon Polling & Research Inc.,1992-10-18,692,244,448,1992-11-03,NA,NA,NA,NA,NA,NA,NA,41.51744368788668,58.48255631211331
Sen,MO,1992,Kansas City Star,1992-09-21,624,240,384,1992-11-03,NA,NA,NA,NA,NA,NA,NA,46.40474799505295,53.595252004947056
Sen,MO,1992,Mellman Group,1992-08-14,410,185,225,1992-11-03,NA,NA,NA,NA,NA,NA,NA,46.40474799505295,53.595252004947056
Sen,OH,1992,University of Cincinnati (Ohio Poll),1992-10-28,930,493,437,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.649885054571236,45.35011494542876
Sen,ID,1992,Rich Smith & Rich,1992-09-30,524,253,271,1992-11-03,NA,NA,NA,NA,NA,NA,NA,43.47633457710619,56.52366542289382
Sen,NH,1992,American Research Group,1992-10-27,504,282,222,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.49259038391077,51.50740961608924
Sen,NY,1992,Marist College,1992-09-24,535,285,250,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.353978141352876,50.64602185864713
Sen,PA,1992,Public Opinion Strategies,1992-10-28,1204,532,672,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.54727955419171,51.45272044580829
Sen,AK,1992,Mason-Dixon Polling & Research Inc.,1992-09-19,500,200,300,1992-11-03,NA,NA,NA,NA,NA,NA,NA,41.9950918688624,58.0049081311376
Sen,GA,1992,Mason-Dixon Polling & Research Inc.,1992-10-23,703,417,286,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.35258706,50.64741294
Sen,NC,1992,Charlotte Observer,1992-10-16,280,136,144,1992-11-03,NA,NA,NA,NA,NA,NA,NA,47.91571274544969,52.08428725455031
Sen,IL,1992,Market Shares Corp.,1992-10-03,580,356,224,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,WA,1992,Elway Research,1992-10-14,298,153,145,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.99188390999999,46.00811609
Sen,IL,1992,CBS News/New York Times,1992-10-14,977,598,379,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,MD,1992,Mason-Dixon Polling & Research Inc.,1992-08-28,713,481,232,1992-11-03,NA,NA,NA,NA,NA,NA,NA,71.01566395398505,28.984336046014953
Sen,OH,1992,Public Opinion Strategies,1992-09-27,460,240,220,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.649885054571236,45.35011494542876
Sen,OH,1992,University of Akron,1992-10-20,538,304,234,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.649885054571236,45.35011494542876
Sen,AL,1992,Birmingham Post-Herald,1992-10-12,495,393,102,1992-11-03,NA,NA,NA,NA,NA,NA,NA,66.20634383337631,33.7936561666237
Sen,GA,1992,Mason-Dixon Polling & Research Inc.,1992-09-15,681,430,251,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.35258706,50.64741294
Sen,OR,1992,Griggs-Anderson Research,1992-09-28,540,240,300,1992-11-03,NA,NA,NA,NA,NA,NA,NA,47.141248918729545,52.85875108127045
Sen,ND,1992,University of North Dakota,1992-10-06,466,326,140,1992-11-03,NA,NA,NA,NA,NA,NA,NA,60.282882199169904,39.71711780083009
Sen,IL,1992,Market Shares Corp.,1992-09-26,800,540,260,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,WI,1992,St. Norbert College,1992-10-21,355,172,183,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,IN,1992,Indianapolis Star,1992-10-04,738,289,449,1992-11-03,NA,NA,NA,NA,NA,NA,NA,41.51744368788668,58.48255631211331
Sen,IL,1992,Market Shares Corp.,1992-10-12,568,357,211,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,WI,1992,Milwaukee Journal-Sentinel,1992-10-29,546,264,282,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,NH,1992,Bannon Communications,1992-09-27,240,108,132,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.49259038391077,51.50740961608924
Sen,IL,1992,Chicago Tribune,1992-10-17,820,500,320,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,SD,1992,Tom Daschle,1992-09-20,414,303,111,1992-11-03,NA,NA,NA,NA,NA,NA,NA,66.62871208004692,33.371287919953076
Sen,IL,1992,Richard Day Research Inc.,1992-10-01,685,475,210,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,OK,1992,Mason-Dixon Polling & Research Inc.,1992-10-21,712,229,483,1992-11-03,NA,NA,NA,NA,NA,NA,NA,39.47769811458307,60.52230188541693
Sen,NH,1992,American Research Group,1992-10-19,480,216,264,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.49259038391077,51.50740961608924
Sen,PA,1992,Millersville University,1992-10-03,550,268,282,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.54727955419171,51.45272044580829
Sen,OH,1992,Gordon S. Black Corp.,1992-08-09,508,281,227,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.649885054571236,45.35011494542876
Sen,AZ,1992,Arizona State University,1992-08-29,307,94,213,1992-11-03,NA,NA,NA,NA,NA,NA,NA,36.127781694322216,63.872218305677784
Sen,CA,1992,Boxer,1992-10-27,624,344,280,1992-11-03,NA,NA,NA,NA,NA,NA,NA,52.69557915965937,47.30442084034062
Sen,OR,1992,Mason-Dixon Polling & Research Inc.,1992-09-28,708,346,362,1992-11-03,NA,NA,NA,NA,NA,NA,NA,47.141248918729545,52.85875108127045
Sen,OK,1992,Mason-Dixon Polling & Research Inc.,1992-08-14,675,209,466,1992-11-03,NA,NA,NA,NA,NA,NA,NA,39.47769811458307,60.52230188541693
Sen,PA,1992,Pittsburgh Post-Gazette,1992-10-08,507,226,281,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.54727955419171,51.45272044580829
Sen,AZ,1992,Arizona State University,1992-10-03,373,134,239,1992-11-03,NA,NA,NA,NA,NA,NA,NA,36.127781694322216,63.872218305677784
Sen,WI,1992,Milwaukee Journal-Sentinel,1992-10-23,704,384,320,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,IL,1992,Market Shares Corp.,1992-09-10,820,580,240,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,NY,1992,Mason-Dixon Polling & Research Inc.,1992-10-03,735,380,355,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.353978141352876,50.64602185864713
Sen,PA,1992,Millersville University,1992-10-24,676,320,356,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.54727955419171,51.45272044580829
Sen,MO,1992,St. Louis Post-Dispatch,1992-09-12,431,163,268,1992-11-03,NA,NA,NA,NA,NA,NA,NA,46.40474799505295,53.595252004947056
Sen,WI,1992,Mason-Dixon Polling & Research Inc.,1992-09-14,680,376,304,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,NC,1992,Mason-Dixon Polling & Research Inc.,1992-10-26,670,368,302,1992-11-03,NA,NA,NA,NA,NA,NA,NA,47.91571274544969,52.08428725455031
Sen,NH,1992,Mason-Dixon Polling & Research Inc.,1992-08-31,662,307,355,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.49259038391077,51.50740961608924
Sen,WI,1992,St. Norbert College,1992-09-24,353,219,134,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,IL,1992,Market Shares Corp.,1992-08-22,790,560,230,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,AK,1992,Cromer Group,1992-09-30,415,170,245,1992-11-03,NA,NA,NA,NA,NA,NA,NA,41.9950918688624,58.0049081311376
Sen,OR,1992,T-H Research,1992-09-30,533,245,288,1992-11-03,NA,NA,NA,NA,NA,NA,NA,47.141248918729545,52.85875108127045
Sen,NC,1992,Raleigh News & Observer,1992-09-27,511,274,237,1992-11-03,NA,NA,NA,NA,NA,NA,NA,47.91571274544969,52.08428725455031
Sen,WA,1992,"Fairbank, Maslin, Maullin, Metz & Associates",1992-09-24,498,300,198,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.99188390999999,46.00811609
Sen,OH,1992,Columbus Dispatch,1992-08-31,1811,997,814,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.649885054571236,45.35011494542876
Sen,CT,1992,University of Connecticut,1992-09-29,424,264,160,1992-11-03,NA,NA,NA,NA,NA,NA,NA,60.67413490121072,39.32586509878929
Sen,OH,1992,University of Cincinnati (Ohio Poll),1992-10-16,519,282,237,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.649885054571236,45.35011494542876
Sen,KY,1992,Louisville Courier-Journal,1992-09-15,495,379,116,1992-11-03,NA,NA,NA,NA,NA,NA,NA,63.71473903169995,36.28526096830006
Sen,WI,1992,Garin-Hart-Yang Research Group,1992-10-24,447,241,206,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,WI,1992,Chamberlain Research,1992-10-15,331,216,115,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,NH,1992,University of New Hampshire,1992-09-09,320,143,177,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.49259038391077,51.50740961608924
Sen,NC,1992,Mason-Dixon Polling & Research Inc.,1992-08-21,690,401,289,1992-11-03,NA,NA,NA,NA,NA,NA,NA,47.91571274544969,52.08428725455031
Sen,IN,1992,Hill Research Consultants,1992-09-02,610,192,418,1992-11-03,NA,NA,NA,NA,NA,NA,NA,41.51744368788668,58.48255631211331
Sen,NH,1992,University of New Hampshire,1992-10-21,441,244,197,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.49259038391077,51.50740961608924
Sen,CA,1992,Mason-Dixon Polling & Research Inc.,1992-09-03,687,401,286,1992-11-03,NA,NA,NA,NA,NA,NA,NA,52.69557915965937,47.30442084034062
Sen,UT,1992,Dan Jones & Associates,1992-09-29,572,225,347,1992-11-03,NA,NA,NA,NA,NA,NA,NA,41.76199262867714,58.23800737132285
Sen,PA,1992,Mason-Dixon Polling & Research Inc.,1992-10-27,734,371,363,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.54727955419171,51.45272044580829
Sen,WA,1992,Bellevue Journal American,1992-09-28,267,162,105,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.99188390999999,46.00811609
Sen,AZ,1992,Behavior Research Center (Rocky Mountain),1992-09-20,450,180,270,1992-11-03,NA,NA,NA,NA,NA,NA,NA,36.127781694322216,63.872218305677784
Sen,SC,1992,McLaughlin & Associates,1992-08-24,380,215,165,1992-11-03,NA,NA,NA,NA,NA,NA,NA,51.60910055069683,48.390899449303184
Sen,IL,1992,Mason-Dixon Polling & Research Inc.,1992-09-05,629,433,196,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,MO,1992,Prell Org.,1992-10-19,407,183,224,1992-11-03,NA,NA,NA,NA,NA,NA,NA,46.40474799505295,53.595252004947056
Sen,CT,1992,Quinnipiac University,1992-08-03,505,388,117,1992-11-03,NA,NA,NA,NA,NA,NA,NA,60.67413490121072,39.32586509878929
Sen,NV,1992,Public Opinion Strategies,1992-09-02,336,204,132,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.93696347280763,44.06303652719236
Sen,KY,1992,Mason-Dixon Polling & Research Inc.,1992-09-23,638,485,153,1992-11-03,NA,NA,NA,NA,NA,NA,NA,63.71473903169995,36.28526096830006
Sen,CO,1992,Ciruli Associates,1992-09-14,400,225,175,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.80125022620106,45.19874977379894
Sen,SC,1992,KPC Research,1992-09-26,418,237,181,1992-11-03,NA,NA,NA,NA,NA,NA,NA,51.60910055069683,48.390899449303184
Sen,NY,1992,CBS News/New York Times,1992-10-24,884,460,424,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.353978141352876,50.64602185864713
Sen,IL,1992,WCIA-TV,1992-10-08,523,293,230,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,WI,1992,Milwaukee Journal-Sentinel,1992-09-09,363,227,136,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,CA,1992,Field Research Corp. (Field Poll),1992-10-25,961,486,475,1992-11-03,NA,NA,NA,NA,NA,NA,NA,52.69557915965937,47.30442084034062
Sen,WI,1992,Mason-Dixon Polling & Research Inc.,1992-10-16,705,394,311,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,IN,1992,Hill Research Consultants,1992-10-17,396,129,267,1992-11-03,NA,NA,NA,NA,NA,NA,NA,41.51744368788668,58.48255631211331
Sen,IA,1992,Selzer & Co.,1992-09-08,764,252,512,1992-11-03,NA,NA,NA,NA,NA,NA,NA,28.095166553783184,71.90483344621683
Sen,OH,1992,Mason-Dixon Polling & Research Inc.,1992-09-04,701,379,322,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.649885054571236,45.35011494542876
Sen,CO,1992,Ciruli Associates,1992-08-03,451,316,135,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.80125022620106,45.19874977379894
Sen,CT,1992,Quinnipiac University,1992-09-21,493,333,160,1992-11-03,NA,NA,NA,NA,NA,NA,NA,60.67413490121072,39.32586509878929
Sen,PA,1992,Pittsburgh Post-Gazette,1992-10-22,682,310,372,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.54727955419171,51.45272044580829
Sen,VT,1992,Mason-Dixon Polling & Research Inc.,1992-09-16,560,390,170,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.54670227573099,44.45329772426901
Sen,CO,1992,Talmey-Drake Research & Strategy Inc.,1992-10-21,364,184,180,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.80125022620106,45.19874977379894
Sen,SD,1992,Mason-Dixon Polling & Research Inc.,1992-09-25,721,454,267,1992-11-03,NA,NA,NA,NA,NA,NA,NA,66.62871208004692,33.371287919953076
Sen,NH,1992,Bannon Communications,1992-10-15,272,128,144,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.49259038391077,51.50740961608924
Sen,WA,1992,Tacoma Morning News Tribune,1992-10-12,544,288,256,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.99188390999999,46.00811609
Sen,CO,1992,Mason-Dixon Polling & Research Inc.,1992-07-30,654,364,290,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.80125022620106,45.19874977379894
Sen,OK,1992,Mason-Dixon Polling & Research Inc.,1992-09-17,679,224,455,1992-11-03,NA,NA,NA,NA,NA,NA,NA,39.47769811458307,60.52230188541693
Sen,PA,1992,Duquesne U.,1992-10-20,590,288,302,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.54727955419171,51.45272044580829
Sen,HI,1992,Mason-Dixon Polling & Research Inc.,1992-09-21,362,225,137,1992-11-03,NA,NA,NA,NA,NA,NA,NA,68.0176620098877,31.9823379901123
Sen,CT,1992,Quinnipiac University,1992-10-12,488,299,189,1992-11-03,NA,NA,NA,NA,NA,NA,NA,60.67413490121072,39.32586509878929
Sen,WI,1992,University of Wisconsin (Badger Poll),1992-09-14,359,223,136,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,NH,1992,Mason-Dixon Polling & Research Inc.,1992-10-25,708,374,334,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.49259038391077,51.50740961608924
Sen,WI,1992,Milwaukee Journal-Sentinel,1992-10-16,364,188,176,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,MO,1992,Public Policy Research Centers,1992-10-19,473,196,277,1992-11-03,NA,NA,NA,NA,NA,NA,NA,46.40474799505295,53.595252004947056
Sen,CO,1992,Mason-Dixon Polling & Research Inc.,1992-09-18,755,406,349,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.80125022620106,45.19874977379894
Sen,IN,1992,Gordon S. Black Corp.,1992-08-30,736,232,504,1992-11-03,NA,NA,NA,NA,NA,NA,NA,41.51744368788668,58.48255631211331
Sen,OK,1992,Thomas Kielhorn,1992-08-14,372,148,224,1992-11-03,NA,NA,NA,NA,NA,NA,NA,39.47769811458307,60.52230188541693
Sen,IL,1992,Mason-Dixon Polling & Research Inc.,1992-10-27,596,371,225,1992-11-03,NA,NA,NA,NA,NA,NA,NA,55.30043534405712,44.699564655942886
Sen,CA,1992,Field Research Corp. (Field Poll),1992-09-08,548,343,205,1992-11-03,NA,NA,NA,NA,NA,NA,NA,52.69557915965937,47.30442084034062
Sen,NY,1992,Gordon S. Black Corp.,1992-10-23,1390,785,605,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.353978141352876,50.64602185864713
Sen,CO,1992,Talmey-Drake Research & Strategy Inc.,1992-09-14,344,204,140,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.80125022620106,45.19874977379894
Sen,WI,1992,Milwaukee Journal-Sentinel,1992-08-31,703,389,314,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,CO,1992,Talmey-Drake Research & Strategy Inc.,1992-10-23,364,196,168,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.80125022620106,45.19874977379894
Sen,IA,1992,Selzer & Co.,1992-10-04,748,197,551,1992-11-03,NA,NA,NA,NA,NA,NA,NA,28.095166553783184,71.90483344621683
Sen,CT,1992,Quinnipiac University,1992-08-26,519,393,126,1992-11-03,NA,NA,NA,NA,NA,NA,NA,60.67413490121072,39.32586509878929
Sen,OK,1992,Thomas Kielhorn,1992-09-14,352,128,224,1992-11-03,NA,NA,NA,NA,NA,NA,NA,39.47769811458307,60.52230188541693
Sen,CO,1992,Talmey-Drake Research & Strategy Inc.,1992-08-21,451,280,171,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.80125022620106,45.19874977379894
Sen,NH,1992,University of New Hampshire,1992-09-22,373,194,179,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.49259038391077,51.50740961608924
Sen,OH,1992,Columbus Dispatch,1992-09-28,1838,949,889,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.649885054571236,45.35011494542876
Sen,GA,1992,Atlanta Journal Constitution,1992-10-06,498,317,181,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.35258706,50.64741294
Sen,NY,1992,Zogby Interactive/JZ Analytics,1992-10-16,385,224,161,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.353978141352876,50.64602185864713
Sen,AZ,1992,Behavior Research Center (Rocky Mountain),1992-08-14,343,126,217,1992-11-03,NA,NA,NA,NA,NA,NA,NA,36.127781694322216,63.872218305677784
Sen,WI,1992,Garin-Hart-Yang Research Group,1992-10-29,570,312,258,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,WI,1992,Mason-Dixon Polling & Research Inc.,1992-08-12,616,233,383,1992-11-03,NA,NA,NA,NA,NA,NA,NA,53.32738906886559,46.672610931134415
Sen,NY,1992,Gordon S. Black Corp.,1992-10-09,1324,698,626,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.353978141352876,50.64602185864713
Sen,NY,1992,Marist College,1992-10-25,577,308,269,1992-11-03,NA,NA,NA,NA,NA,NA,NA,49.353978141352876,50.64602185864713
Sen,NH,1992,American Research Group,1992-10-02,648,248,400,1992-11-03,NA,NA,NA,NA,NA,NA,NA,48.49259038391077,51.50740961608924
Sen,SD,1992,Hein Research,1992-10-05,446,330,116,1992-11-03,NA,NA,NA,NA,NA,NA,NA,66.62871208004692,33.371287919953076
Sen,OH,1992,University of Cincinnati (Ohio Poll),1992-09-09,574,359,215,1992-11-03,NA,NA,NA,NA,NA,NA,NA,54.649885054571236,45.35011494542876
Sen,OK,1992,Thomas Kielhorn,1992-10-08,336,140,196,1992-11-03,NA,NA,NA,NA,NA,NA,NA,39.47769811458307,60.52230188541693
Sen,OR,1992,Bardsley & Neidhart,1992-09-09,330,165,165,1992-11-03,NA,NA,NA,NA,NA,NA,NA,47.141248918729545,52.85875108127045
